datetime,Global_active_power,hour,day_of_week,month,quarter,is_weekend,is_business_hour,hour_sin,hour_cos,month_sin,month_cos,lag_1h,lag_2h,lag_3h,lag_6h,lag_12h,lag_24h,same_hour_yesterday,same_hour_last_week,roll_mean_6h,roll_std_6h,roll_mean_12h,roll_std_12h,roll_mean_24h,roll_std_24h
2006-12-23 17:00:00,5.452533333333333,17,5,12,4,1,0,-0.9659258262890683,-0.25881904510252063,-2.4492935982947064e-16,1.0,4.349100000000001,4.0491,3.757966666666667,3.159,2.2291000000000003,1.4968,1.4968,4.222888888888889,3.6083777777777786,0.49495523279295606,3.3301250000000002,0.7814614118248551,2.9348902777777783,0.9693384838851008
2006-12-23 18:00:00,3.8794,18,5,12,4,1,0,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,5.452533333333333,4.349100000000001,4.0491,2.9288000000000003,1.6493666666666666,2.6869666666666663,2.6869666666666663,3.6321999999999997,3.9906333333333333,0.7949986962486342,3.5987444444444443,0.9016035469109849,3.0997125000000003,1.0442150253860076
2006-12-23 19:00:00,4.1178333333333335,19,5,12,4,1,0,-0.9659258262890684,0.2588190451025203,-2.4492935982947064e-16,1.0,3.8794,5.452533333333333,4.349100000000001,3.4063,4.023366666666666,3.9381666666666666,3.9381666666666666,3.4002333333333334,4.149066666666667,0.6488982537375901,3.7845805555555554,0.6842843322092784,3.149397222222222,1.0517356333222212
2006-12-23 20:00:00,4.1814,20,5,12,4,1,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,4.1178333333333335,3.8794,5.452533333333333,3.757966666666667,4.190833333333333,3.5360666666666662,3.5360666666666662,3.2685666666666666,4.267655555555556,0.5614426231911788,3.7924527777777777,0.6875218488727965,3.156883333333333,1.0579444392661066
2006-12-23 21:00:00,3.2884333333333333,21,5,12,4,1,0,-0.7071067811865477,0.7071067811865474,-2.4492935982947064e-16,1.0,4.1814,4.1178333333333335,3.8794,4.0491,3.2464,4.548666666666667,4.548666666666667,3.0564666666666667,4.338227777777778,0.5178612331706021,3.7916666666666665,0.6870711372140385,3.1837722222222222,1.0752987294523002
2006-12-23 22:00:00,4.327933333333333,22,5,12,4,1,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,3.2884333333333333,4.1814,4.1178333333333335,4.349100000000001,2.972166666666667,3.0650666666666666,3.0650666666666666,2.2001333333333335,4.21145,0.649502298558922,3.795169444444445,0.6843842602225971,3.1312624999999996,1.0374700634820893
2006-12-23 23:00:00,5.5624666666666664,23,5,12,4,1,0,-0.25881904510252157,0.9659258262890681,-2.4492935982947064e-16,1.0,4.327933333333333,3.2884333333333333,4.1814,5.452533333333333,3.159,2.4191999999999996,2.4191999999999996,2.0616,4.207922222222222,0.6488021768546618,3.9081500000000005,0.6502506122998238,3.183881944444444,1.0644530488218922
2006-12-24 00:00:00,4.0280000000000005,0,6,12,4,1,0,0.0,1.0,-2.4492935982947064e-16,1.0,5.5624666666666664,4.327933333333333,3.2884333333333333,3.8794,2.9288000000000003,1.6982333333333333,1.6982333333333333,1.8824666666666665,4.226244444444444,0.6842739703826234,4.108438888888888,0.751002693543689,3.3148513888888886,1.1520760599721864
2006-12-24 01:00:00,3.2757,1,6,12,4,1,0,0.25881904510252074,0.9659258262890683,-2.4492935982947064e-16,1.0,4.0280000000000005,5.5624666666666664,4.327933333333333,4.1178333333333335,3.4063,1.7227999999999999,1.7227999999999999,3.3494,4.251011111111111,0.6738823665526549,4.200038888888889,0.6634691863722322,3.411925,1.1091225903776885
2006-12-24 02:00:00,2.303033333333333,2,6,12,4,1,0,0.49999999999999994,0.8660254037844387,-2.4492935982947064e-16,1.0,3.2757,4.0280000000000005,5.5624666666666664,4.1814,3.757966666666667,1.7007666666666665,1.7007666666666665,1.5872666666666668,4.110655555555556,0.768114793375612,4.189155555555556,0.6773266032492268,3.4766291666666667,1.052548593024135
